Team1	Score1	Team2	Score2
nyk	95	sas	109
hou	93	gsw	105
mia	82	den	102
cle	94	okc	103
hou	113	sac	109
por	106	chi	115
lac	96	was	104
orl	81	atl	87
nyk	101	bos	95
phi	70	bkn	88
ind	94	tor	106
cha	107	mem	113
okc	111	min	92
cle	114	nop	119
det	105	phx	103
mia	100	uta	95
lal	112	sas	110
gsw	105	dal	98
bkn	114	cha	87
por	95	ind	85
atl	99	orl	100
lac	106	mil	111
mem	120	phi	115
den	96	hou	108
det	95	sac	90
gsw	128	nop	122
chi	93	mia	75
uta	84	was	93
lal	100	min	94
phx	88	okc	112
tor	95	nyk	90
sas	99	den	91
cha	88	cle	97
lal	91	ind	110
bos	105	phi	87
chi	86	atl	93
orl	82	tor	95
mil	96	phx	94
sas	95	por	108
det	91	lac	113
min	95	was	109
mia	95	bkn	91
gsw	98	mem	105
uta	111	nop	119
dal	107	nyk	87
okc	104	sac	92
phx	111	cha	106
atl	127	cle	98
orl	92	bos	109
dal	117	det	106
uta	105	mia	87
bkn	89	tor	105
mem	117	sas	116
mil	97	por	104
ind	100	lac	102
hou	115	den	111
nyk	97	chi	103
nop	99	hou	90
mil	108	sac	107
okc	109	gsw	114
uta	101	orl	94
cha	109	phi	91
min	98	bos	114
bkn	91	cle	95
tor	110	det	100
was	105	mia	103
chi	103	mem	97
por	129	sas	119
lac	106	den	109
okc	104	lal	103
phx	99	nyk	90
por	114	nop	88
uta	86	cha	104
atl	104	hou	97
sas	93	dal	99
ind	73	den	76
mil	102	lac	106
nyk	108	tor	118
mem	91	cle	105
lal	101	sac	108
det	105	bkn	110
bos	84	mia	100
phi	96	orl	88
phx	104	was	92
ind	100	min	96
nop	101	okc	99
den	82	cha	110
tor	120	chi	129
por	95	hou	110
uta	97	mem	91
atl	105	dal	102
lac	118	sas	125
sac	108	gsw	128
min	104	cle	125
nop	84	ind	96
bos	95	orl	100
chi	99	was	91
lac	104	atl	107
den	96	bkn	102
phi	91	mia	87
cha	108	mil	101
por	115	okc	111
dal	115	phx	124
gsw	105	lal	115
